WORD
tobacco
cherry
chocolate
vanilla
sweet
oak
raspberry
berries
acidity
fruit
pepper
plum
strawberry
value
tannins
finish
blackberry
citrus
apple
refreshing
earthy
complexity
spice
pear
crisp
honey
price
blackcurrant
body
lemon
leather
intensity
structure
smoke
aromas
